bigram,n
of the,35676
in the,32945
to the,17272
on the,15620
for the,14974
to be,12776
at the,11094
and the,10714
in a,9742
with the,8684
is a,8273
it was,8052
for a,7359
from the,7235
i was,7162
of a,7081
i have,6970
it is,6875
with a,6870
and i,6783
will be,6038
i am,5980
as a,5964
one of,5887
going to,5810
is the,5711
if you,5455
to get,5389
and a,5261
have a,5259
that the,5191
by the,5176
this is,4918
to a,4793
was a,4785
want to,4778
have to,4762
the first,4726
that i,4718
out of,4566
to do,4493
i think,4329
on a,4290
but i,4054
have been,4011
all the,3992
the same,3970
to make,3910
to see,3908
you can,3819
a few,3800
a lot,3734
of my,3716
has been,3673
he was,3667
as the,3590
be a,3535
would be,3495
a little,3449
more than,3439
about the,3402
i had,3388
when i,3376
in my,3307
need to,3306
to have,3277
into the,3248
i love,3163
they are,3134
you are,3073
he said,3059
you have,3038
there is,3024
i can,3008
we are,2974
a good,2969
to go,2945
i don't,2899
there are,2891
a a,2881
is not,2869
the best,2854
had a,2832
over the,2824
i know,2810
a great,2804
that is,2799
so i,2711
the world,2648
the most,2640
we have,2629
a new,2593
but the,2572
part of,2548
and then,2536
like a,2531
was the,2480
lot of,2458
some of,2421
all of,2418
able to,2417
the new,2413
i will,2408
i just,2401
thanks for,2398
as well,2396
i would,2380
trying to,2365
thank you,2350
back to,2347
of his,2342
at least,2331
the last,2303
can be,2297
at a,2295
the way,2281
the other,2246
is that,2209
do you,2194
so much,2158
and it,2156
on my,2137
the time,2130
in this,2117
of this,2113
up to,2109
for me,2087
a the,2074
to me,2061
that he,2056
if i,2053
to take,2039
the next,2038
had to,1992
according to,1978
kind of,1969
but it,1964
time to,1963
you know,1963
they were,1956
he is,1938
in his,1921
i could,1911
said the,1905
from a,1899
the end,1895
when the,1881
i want,1862
as i,1855
what i,1852
when you,1851
and that,1845
a bit,1831
that was,1826
of course,1815
way to,1807
the only,1805
to my,1786
me to,1783
go to,1763
has a,1755
be the,1752
of our,1742
would have,1735
she was,1728
this year,1724
to say,1718
are you,1702
should be,1701
that you,1698
a i,1695
through the,1687
which is,1685
right now,1682
how to,1681
that we,1676
into a,1673
that it,1671
the day,1667
i do,1642
i got,1633
after the,1627
wanted to,1622
by a,1599
like to,1592
and we,1591
with my,1589
there was,1586
of them,1570
year old,1561
like the,1559
have the,1558
the state,1550
get a,1542
it would,1541
of their,1541
not a,1540
we were,1528
it's a,1524
to keep,1522
said he,1517
end of,1513
up the,1508
are the,1501
new york,1498
to work,1498
the city,1497
during the,1495
that they,1483
is to,1480
up and,1480
to find,1479
it to,1477
such as,1470
last year,1464
most of,1461
to help,1460
had been,1444
of it,1443
up with,1436
out the,1428
it will,1421
and he,1419
because of,1418
i did,1414
for my,1410
he has,1410
i need,1397
they have,1393
and his,1391
this week,1382
off the,1376
did not,1365
around the,1361
such a,1361
i can't,1360
we can,1359
i thought,1358
not to,1358
a very,1357
do not,1353
for you,1338
when he,1326
if the,1313
used to,1313
and other,1312
it has,1311
of your,1307
a couple,1306
could be,1306
the right,1304
in an,1296
i hope,1295
you want,1295
she said,1292
i feel,1289
the past,1282
in their,1281
just a,1278
try to,1278
said a,1264
the second,1264
a big,1261
of all,1254
the top,1250
and they,1249
he had,1245
you to,1245
and you,1242
in your,1240
is an,1240
it and,1240
make a,1238
make it,1238
well as,1237
what you,1235
a long,1233
out to,1223
to come,1223
what is,1217
people who,1214
because i,1212
to give,1210
and in,1208
to you,1207
me and,1206
about it,1197
i dona,1196
of those,1196
of her,1193
look at,1187
do it,1186
are not,1185
been a,1174
for this,1173
that a,1171
know what,1163
the game,1163
i'm not,1162
who is,1153
you will,1152
up in,1151
a year,1148
are a,1145
not the,1143
years ago,1143
i like,1135
number of,1135
we had,1135
in our,1131
see the,1127
to use,1122
before the,1121
and to,1116
of us,1116
may be,1111
a and,1109
the one,1109
the rest,1108
know that,1106
that would,1106
be able,1104
she is,1103
is in,1099
so many,1099
to know,1090
got a,1085
of you,1085
i really,1083
high school,1081
was in,1079
my life,1074
get the,1073
of these,1073
them to,1073
i get,1072
no one,1070
the two,1070
the house,1069
forward to,1068
the u s,1066
i didn't,1062
of that,1061
enough to,1060
me a,1052
get to,1051
than the,1051
the a,1048
and my,1046
on this,1044
is going,1041
take a,1040
when it,1040
was not,1038
at all,1037
is it,1037
as it,1033
couple of,1033
not be,1033
last week,1030
if they,1029
