word,n
the,385421
a,228141
to,216723
and,200174
of,165519
in,130879
i,126025
that,83988
is,83001
for,82818
it,71784
you,64532
on,62363
with,56851
was,51331
my,45352
this,43492
at,43290
be,41666
have,41327
as,40394
but,38563
are,37957
he,34667
we,33207
not,32080
from,30872
so,29071
all,26253
me,26069
they,25900
by,25605
or,25414
his,24868
will,24182
said,23733
one,23705
an,23650
up,22865
about,22817
out,22491
just,21806
your,21014
has,20949
if,20949
what,20924
when,20402
like,19862
who,19495
more,19172
had,18935
can,18760
do,17987
her,17676
time,17522
their,17087
there,16717
she,16444
get,16336
would,16288
some,16186
no,15192
been,14997
were,14780
our,14683
new,14198
now,13239
them,13214
how,13164
it's,12667
 ,12366
good,12293
which,12229
day,12179
people,12165
know,11593
i'm,11509
first,11336
than,11195
into,11178
also,10916
year,10762
after,10754
back,10701
love,10558
other,10536
over,10189
then,10147
make,10134
only,10089
two,9998
see,9968
because,9934
go,9849
its,9652
last,9613
him,9599
think,9351
much,9278
going,9202
could,8999
us,8969
even,8848
well,8836
way,8800
really,8752
don't,8474
too,8369
great,8234
work,8002
am,7884
did,7867
got,7774
off,7749
still,7716
want,7675
most,7662
very,7627
years,7608
right,7578
where,7559
here,7485
many,7390
any,7310
those,7199
before,7176
today,7090
these,7038
down,7018
need,6992
little,6980
being,6935
made,6922
life,6831
take,6564
home,6485
while,6443
say,6433
through,6377
should,6367
may,6266
never,6043
things,6001
come,5977
week,5962
next,5724
best,5707
something,5665
around,5602
school,5505
why,5462
thanks,5388
long,5366
state,5331
another,5281
every,5272
world,5243
night,5241
three,5238
few,5099
old,5044
game,5041
always,4960
look,4922
since,4868
ita,4828
better,4775
same,4745
such,4719
big,4668
again,4603
show,4543
city,4528
that's,4527
own,4517
use,4422
man,4410
rt,4362
feel,4360
thing,4335
find,4323
each,4268
both,4245
help,4235
place,4233
high,4219
sure,4208
lot,4171
until,4137
days,4114
happy,4108
part,4088
can't,4076
family,4062
put,4039
says,4036
keep,4011
house,4004
does,3987
m,3946
ever,3918
end,3914
book,3898
though,3893
lol,3877
getting,3854
used,3851
team,3806
hope,3759
give,3733
might,3691
away,3679
doing,3643
i've,3627
during,3569
left,3555
went,3527
let,3525
didn't,3505
looking,3503
found,3498
free,3477
season,3445
play,3439
thought,3409
th,3361
without,3353
start,3314
done,3310
enough,3298
came,3286
against,3285
second,3241
between,3236
god,3222
having,3221
money,3221
dona,3207
follow,3205
once,3196
top,3185
told,3184
making,3183
hard,3172
friends,3168
you're,3159
st,3138
everyone,3134
times,3124
morning,3106
point,3101
took,3093
