"subject" "activity" "timeBodyaccelerometer.std...X" "timeBodyaccelerometer.std...Y" "timeBodyaccelerometer.std...Z" "timeGravityaccelerometer.std...X" "timeGravityaccelerometer.std...Y" "timeGravityaccelerometer.std...Z" "timeBodyaccelerometerJerk.std...X" "timeBodyaccelerometerJerk.std...Y" "timeBodyaccelerometerJerk.std...Z" "timeBodygyroscope.std...X" "timeBodygyroscope.std...Y" "timeBodygyroscope.std...Z" "timeBodygyroscopeJerk.std...X" "timeBodygyroscopeJerk.std...Y" "timeBodygyroscopeJerk.std...Z" "timeBodyaccelerometermagnitude.std.." "timeGravityaccelerometermagnitude.std.." "timeBodyaccelerometerJerkmagnitude.std.." "timeBodygyroscopemagnitude.std.." "timeBodygyroscopeJerkmagnitude.std.." "frequencyBodyaccelerometer.std...X" "frequencyBodyaccelerometer.std...Y" "frequencyBodyaccelerometer.std...Z" "frequencyBodyaccelerometerJerk.std...X" "frequencyBodyaccelerometerJerk.std...Y" "frequencyBodyaccelerometerJerk.std...Z" "frequencyBodygyroscope.std...X" "frequencyBodygyroscope.std...Y" "frequencyBodygyroscope.std...Z" "frequencyBodyaccelerometermagnitude.std.." "frequencybodyaccelerometerJerkmagnitude.std.." "frequencybodygyroscopemagnitude.std.." "frequencybodygyroscopeJerkmagnitude.std.."
1 "LAYING" -0.971989435901639 -0.945576010327869 -0.966767599672131 -0.962104382131148 -0.968871901147541 -0.97038079 -0.987983095573771 -0.98491855442623 -0.987573193278689 -0.976398469836066 -0.971011105901639 -0.98669668295082 -0.985579046721311 -0.98857106442623 -0.994336277213115 -0.95875845147541 -0.95875845147541 -0.987704365901639 -0.96011243704918 -0.98781231 -0.969523051639344 -0.939676040819672 -0.963838671639344 -0.98896331704918 -0.986199676557377 -0.988231329180328 -0.976940311967213 -0.968392192786885 -0.987622865573771 -0.958812219836066 -0.987060763114754 -0.960127929672131 -0.98775674557377
1 "SITTING" -0.994083535384615 -0.975116996346154 -0.976155531730769 -0.991547086923077 -0.980629417692308 -0.975023314038462 -0.993882550961538 -0.986968700192308 -0.988951638461538 -0.990586141538461 -0.983152627115385 -0.988414164230769 -0.993842211923077 -0.9947459775 -0.9941340675 -0.978459909038462 -0.978459909038462 -0.990890696346154 -0.975843207115385 -0.994273290384615 -0.994310279615385 -0.97463778 -0.974551284038462 -0.994341503846154 -0.988278143076923 -0.989518159038462 -0.991572158269231 -0.981504073269231 -0.990208695384615 -0.979205565961539 -0.990598818653846 -0.976298229230769 -0.993989166730769
1 "STANDING" -0.991106672705882 -0.960146308352941 -0.963274428588235 -0.989469541882353 -0.979321867647059 -0.970073916823529 -0.990555938588235 -0.982191073176471 -0.988801296352941 -0.972202094470588 -0.978487815647059 -0.980824576 -0.986841811529412 -0.991705467529412 -0.991630212470588 -0.965254166117647 -0.965254166117647 -0.986871386470588 -0.963345275764706 -0.989867351176471 -0.991469639294118 -0.958126019647059 -0.959420475764706 -0.991422022352941 -0.983960537529412 -0.989368644235294 -0.972594753882353 -0.976535986823529 -0.981951331764706 -0.965206414235294 -0.985875363058824 -0.962397519058824 -0.989614091529412
1 "WALKING" -0.404692523921569 -0.314569762352941 -0.159799790235294 -0.982469595490196 -0.973784841960784 -0.961387254313726 -0.396223738431373 -0.425563858627451 -0.44025821745098 -0.654171847058823 -0.612593634117647 -0.365489530588235 -0.675889722745098 -0.712237752941177 -0.571264779411765 -0.47180926745098 -0.47180926745098 -0.403386563921569 -0.665078404313725 -0.722808438431373 -0.409070488039216 -0.354370678627451 -0.180501317941176 -0.402884115098039 -0.433612657843137 -0.45663628254902 -0.673741136862745 -0.61194087745098 -0.403219791372549 -0.592150985098039 -0.441447754509804 -0.721137001568627 -0.745726853921569
1 "WALKING_DOWNSTAIRS" 0.207251997929787 -0.146993837655319 0.0114353944787234 -0.957785118085106 -0.955487793617021 -0.910588943191489 -0.101186926595745 -0.261684752425532 -0.303381582831915 -0.45418847106383 -0.528329304680851 -0.444636334893617 -0.623676024255319 -0.583421784680851 -0.540633469361702 0.119183740638298 0.119183740638298 -0.0783498875595745 -0.422315316808511 -0.595822214468085 0.266115492098298 -0.208680587882979 -0.0379716239787234 -0.125682818093191 -0.281507406948936 -0.36402669587234 -0.470373498510638 -0.565214032765957 -0.521100818723404 -0.0534137179170213 -0.0919623368021277 -0.479939845914894 -0.633479804680851
1 "WALKING_UPSTAIRS" -0.397083831568627 -0.163732745078431 -0.129283825721569 -0.948413552745098 -0.933657461176471 -0.907649558823529 -0.521089140196078 -0.425625937254902 -0.593411129607843 -0.508087166666667 -0.58638289372549 -0.365025170078431 -0.707264168627451 -0.77471906627451 -0.717101021960784 -0.334795080196078 -0.334795080196078 -0.493067129607843 -0.518189646470588 -0.797293228431373 -0.369636140980392 -0.166324239117647 -0.094561233145098 -0.538073090196078 -0.417127012352941 -0.620123586470588 -0.509896031372549 -0.559600598431373 -0.387309489901961 -0.418924256078431 -0.51993124 -0.532486721568627 -0.825314327058824
2 "LAYING" -0.9280564692 -0.83682740562 -0.826061401628 -0.8968300184 -0.90772000676 -0.85236629022 -0.958482112 -0.9241492736 -0.9548551108 -0.87354386782 -0.9510904402 -0.9082846626 -0.9186085208 -0.9679072436 -0.9577901596 -0.79514486386 -0.79514486386 -0.9282456284 -0.81901016976 -0.9358409828 -0.9244374346 -0.8336255561 -0.81289155944 -0.9641607086 -0.9322178704 -0.9605869872 -0.8822964508 -0.9512320494 -0.9165825082 -0.7983009404 -0.9218039756 -0.82431943968 -0.9326606676
2 "SITTING" -0.977229008297872 -0.922618641914894 -0.93958629106383 -0.968457145744681 -0.935517055957447 -0.949040933191489 -0.986430711276596 -0.981371965319149 -0.987910804468085 -0.977211283191489 -0.966473895319149 -0.941425920851064 -0.99173159212766 -0.989518068510638 -0.987935806382979 -0.927078418723404 -0.927078418723404 -0.984120024042553 -0.934531840425532 -0.988308728510638 -0.976412313191489 -0.917275006382979 -0.934469558085106 -0.987492994468085 -0.982513909574468 -0.988339184893617 -0.977904227021277 -0.962345042553192 -0.94391784106383 -0.928444801702128 -0.981606177446808 -0.932198374893617 -0.987049617234043
2 "STANDING" -0.995759901509434 -0.973190056415094 -0.979775876981132 -0.99376298509434 -0.981225957924528 -0.976324063584906 -0.994604542264151 -0.98564873245283 -0.992251177358491 -0.987191946603774 -0.98773444 -0.980645626981132 -0.992945106981132 -0.995137917358491 -0.992108467169811 -0.981942928867925 -0.981942928867925 -0.993096209433962 -0.978690028679245 -0.994733238679245 -0.99602834509434 -0.972293102075472 -0.977937259622642 -0.995073759245283 -0.987018226792453 -0.992349818113208 -0.987497128679245 -0.987107727735849 -0.98234533 -0.982313804716981 -0.992536003396226 -0.978466072075472 -0.994671123207547
2 "WALKING" -0.283740258842105 0.114461336747368 -0.260027902210526 -0.976609642526316 -0.971305961473684 -0.947717226105263 -0.113615602435789 0.0670025007684211 -0.502699788526316 -0.473535485894737 -0.0546077686594737 -0.344266629473684 -0.207421854757895 -0.304468510631579 -0.404255452631579 -0.219688645631579 -0.219688645631579 -0.0744717500625263 -0.186978364526316 -0.325324878894737 -0.319134719578947 0.056040006846 -0.279686751494737 -0.133586606326316 0.106739857136 -0.534713440421053 -0.516691938736842 -0.0335081597884211 -0.436562227473684 -0.398032586842105 -0.103492403002105 -0.321017953894737 -0.381601911789474
